Amount,Category,Clean Vendor,Description/Memo,Transaction Date,category,standardized_vendor
791.32,[Category Missing],PAYPAL *Amazon,Transaction 270 - Team lunch,2023-04-14,,PAYPAL *Amazon
473.93,[Category Missing],Dropbox ONLINE,Transaction 271 - Office supplies,2023-07-23,,Dropbox ONLINE
273.94,[Category Missing],Salesforce #123456,Transaction 272 - Client meeting,2023-01-25,,Salesforce #123456
339.7,[Category Missing],Water Company LLC,Transaction 273 - Client meeting,2023-08-14,,Water Company LLC
801.35,[Category Missing],AUTO PAY Electric Company,Transaction 274 - Business expense,2023-09-23,,AUTO PAY Electric Company
0.0,[Category Missing],Wells Fargo.COM,Transaction 275 - Equipment purchase,2023-04-03,,Wells Fargo.COM
0.0,[Category Missing],PAYPAL *Salesforce,Transaction 276 - Team lunch,,,PAYPAL *Salesforce
998.15,[Category Missing],Chase Bank,Transaction 277 - Business expense,,,Chase Bank
363.95,[Category Missing],Spotify INC,Transaction 278 - Equipment purchase,2023-11-23,,Spotify INC
678.41,[Category Missing],Walmart,Transaction 279 - Office supplies,,,Walmart
362.79,[Category Missing],SQ *Spotify,Transaction 280 - Business expense,2023-11-27,,SQ *Spotify
948.87,[Category Missing],budget,Transaction 281 - Business expense,2023-12-14,,budget
398.64,[Category Missing],enterprise rent-a-car,Transaction 282 - Office supplies,2023-09-29,,enterprise rent-a-car
518.23,[Category Missing],Shell,Transaction 283 - Business expense,2023-04-06,,Shell
215.36,[Category Missing],Microsoft,Transaction 284 - Equipment purchase,2023-05-14,,Microsoft
852.97,[Category Missing],SQ *United Airlines,Transaction 285 - Equipment purchase,2023-04-03,,SQ *United Airlines
668.17,[Category Missing],CHASE BANK,Transaction 286 - Monthly subscription,2023-12-16,,CHASE BANK
712.1,[Category Missing],PAYPAL *Marriott,Transaction 287 - Equipment purchase,2023-03-06,,PAYPAL *Marriott
225.02,[Category Missing],Costco,Transaction 288 - Office supplies,2023-07-05,,Costco
361.54,[Category Missing],Google,Transaction 289 - Client meeting,2023-09-10,,Google
66.68,[Category Missing],airbnb,Transaction 290 - Equipment purchase,2023-11-10,,airbnb
769.4,[Category Missing],TST* Papa John's,Transaction 291 - Business expense,2023-09-27,,TST* Papa John's
450.52,[Category Missing],Chevron #123456,Transaction 292 - Team lunch,2023-11-25,,Chevron #123456
182.78,[Category Missing],AUTO PAY Chevron,Transaction 293 - Client meeting,,,AUTO PAY Chevron
518.58,[Category Missing],AUTO PAY Southwest Airlines,Transaction 294 - Office supplies,2023-01-29,,AUTO PAY Southwest Airlines
346.68,[Category Missing],AUTO PAY AT&T,Transaction 295 - Team lunch,2023-12-30,,AUTO PAY AT&T
275.18,[Category Missing],PAYPAL *Uber,Transaction 296 - Monthly subscription,2023-04-11,,PAYPAL *Uber
592.22,[Category Missing],MARRIOTT,Transaction 297 - Office supplies,2023-09-15,,MARRIOTT
842.69,[Category Missing],Safeway.COM,Transaction 298 - Business expense,2023-11-06,,Safeway.COM
265.39,[Category Missing],Uber,Transaction 299 - Monthly subscription,,,Uber
498.54,[Category Missing],Bank of America.COM,Transaction 300 - Team lunch,2023-11-24,,Bank of America.COM
804.88,[Category Missing],PAYPAL *Whole Foods,Transaction 301 - Team lunch,2023-09-05,,PAYPAL *Whole Foods
158.92,[Category Missing],AMERICAN EXPRESS,Transaction 302 - Client meeting,2023-12-19,,AMERICAN EXPRESS
313.27,[Category Missing],Best Buy #123456,Transaction 303 - Equipment purchase,2023-07-11,,Best Buy #123456
0.0,[Category Missing],Comcast*STORE 001,Transaction 304 - Client meeting,2023-03-08,,Comcast*STORE 001
0.0,[Category Missing],PAYPAL *Shell,Transaction 305 - Monthly subscription,2023-08-19,,PAYPAL *Shell
933.82,[Category Missing],SQ *Bank of America,Transaction 306 - Office supplies,2023-03-23,,SQ *Bank of America
467.35,[Category Missing],subway,Transaction 307 - Client meeting,2023-09-13,,subway
457.77,[Category Missing],MCDONALD'S,Transaction 308 - Monthly subscription,2023-07-21,,MCDONALD'S
495.4,[Category Missing],Comcast,Transaction 309 - Equipment purchase,2023-01-26,,Comcast
0.0,[Category Missing],TST* Kroger,Transaction 310 - Team lunch,2023-05-27,,TST* Kroger
0.0,[Category Missing],Papa John's #123456,Transaction 311 - Office supplies,2023-07-26,,Papa John's #123456
386.96,[Category Missing],Electric Company ONLINE,Transaction 312 - Monthly subscription,2023-05-28,,Electric Company ONLINE
119.69,[Category Missing],Adobe,Transaction 313 - Client meeting,,,Adobe
939.01,[Category Missing],ElectricCompany,Transaction 314 - Office supplies,2023-06-23,,ElectricCompany
41.21,[Category Missing],Budget ONLINE,Transaction 315 - Team lunch,2023-07-25,,Budget ONLINE
606.65,[Category Missing],Delta Airlines ONLINE,Transaction 316 - Team lunch,2023-08-22,,Delta Airlines ONLINE
990.63,[Category Missing],CVS Pharmacy #123456,Transaction 317 - Team lunch,2023-03-25,,CVS Pharmacy #123456
532.81,[Category Missing],Hertz #123456,Transaction 318 - Team lunch,2023-09-17,,Hertz #123456
0.0,[Category Missing],Delta Airlines,Transaction 319 - Monthly subscription,2023-01-09,,Delta Airlines
597.31,[Category Missing],Dropbox,Transaction 320 - Equipment purchase,2023-12-19,,Dropbox
583.94,[Category Missing],Hertz.COM,Transaction 321 - Equipment purchase,2023-04-27,,Hertz.COM
821.84,[Category Missing],CVSPharmacy,Transaction 322 - Monthly subscription,2023-07-14,,CVSPharmacy
441.6,[Category Missing],PIZZA HUT,Transaction 323 - Client meeting,2023-04-08,,PIZZA HUT
775.2,[Category Missing],SQ *Pizza Hut,Transaction 324 - Equipment purchase,2023-07-30,,SQ *Pizza Hut
519.16,[Category Missing],Papa John's,Transaction 325 - Equipment purchase,2023-12-28,,Papa John's
956.73,[Category Missing],Delta Airlines ONLINE,Transaction 326 - Monthly subscription,2023-07-12,,Delta Airlines ONLINE
0.0,[Category Missing],Verizon ONLINE,Transaction 327 - Team lunch,2023-07-01,,Verizon ONLINE
771.4,[Category Missing],PAYPAL *Airbnb,Transaction 328 - Equipment purchase,2023-04-26,,PAYPAL *Airbnb
349.45,[Category Missing],TST* Domino's,Transaction 329 - Equipment purchase,2023-06-12,,TST* Domino's
676.95,[Category Missing],PAYPAL *Adobe,Transaction 330 - Client meeting,,,PAYPAL *Adobe
43.02,[Category Missing],Comcast,Transaction 331 - Business expense,2023-03-16,,Comcast
747.59,[Category Missing],AUTO PAY Comcast,Transaction 332 - Monthly subscription,2023-08-15,,AUTO PAY Comcast
138.14,[Category Missing],AUTO PAY Adobe,Transaction 333 - Monthly subscription,2023-10-15,,AUTO PAY Adobe
226.45,[Category Missing],SQ *Google,Transaction 334 - Business expense,2023-01-26,,SQ *Google
0.0,[Category Missing],Bank of America #123456,Transaction 335 - Office supplies,2023-08-30,,Bank of America #123456
650.89,[Category Missing],Bank of America INC,Transaction 336 - Team lunch,2023-09-01,,Bank of America INC
0.0,[Category Missing],PAYPAL *AT&T,Transaction 337 - Office supplies,2023-11-27,,PAYPAL *AT&T
418.47,[Category Missing],Marriott LLC,Transaction 338 - Business expense,2023-01-20,,Marriott LLC
936.67,[Category Missing],WaterCompany,Transaction 339 - Team lunch,2023-11-09,,WaterCompany
603.18,[Category Missing],Amazon,Transaction 340 - Team lunch,,,Amazon
524.79,[Category Missing],TST* Salesforce,Transaction 341 - Office supplies,2023-11-25,,TST* Salesforce
809.01,[Category Missing],TST* Southwest Airlines,Transaction 342 - Equipment purchase,2023-05-20,,TST* Southwest Airlines
15.07,[Category Missing],American Express INC,Transaction 343 - Team lunch,2023-12-05,,American Express INC
611.34,[Category Missing],Enterprise Rent-A-Car INC,Transaction 344 - Client meeting,2023-09-04,,Enterprise Rent-A-Car INC
0.0,[Category Missing],Wells Fargo ONLINE,Transaction 345 - Client meeting,2023-06-17,,Wells Fargo ONLINE
261.52,[Category Missing],AUTO PAY AT&T,Transaction 346 - Team lunch,2023-05-08,,AUTO PAY AT&T
12.42,[Category Missing],PAYPAL *Verizon,Transaction 347 - Equipment purchase,,,PAYPAL *Verizon
465.93,[Category Missing],Google,Transaction 348 - Monthly subscription,2023-12-08,,Google
639.07,[Category Missing],Domino's,Transaction 349 - Team lunch,2023-06-09,,Domino's
478.7,[Category Missing],SQ *CVS Pharmacy,Transaction 350 - Monthly subscription,2023-04-23,,SQ *CVS Pharmacy
912.88,[Category Missing],Electric Company*STORE 001,Transaction 351 - Equipment purchase,2023-12-26,,Electric Company*STORE 001
0.0,[Category Missing],BestBuy,Transaction 352 - Monthly subscription,,,BestBuy
113.1,[Category Missing],Domino's #123456,Transaction 353 - Monthly subscription,,,Domino's #123456
165.37,[Category Missing],Home Depot.COM,Transaction 354 - Client meeting,2023-02-10,,Home Depot.COM
489.34,[Category Missing],Shell INC,Transaction 355 - Client meeting,,,Shell INC
416.01,[Category Missing],TST* Netflix,Transaction 356 - Monthly subscription,2023-03-09,,TST* Netflix
396.55,[Category Missing],American Express INC,Transaction 357 - Equipment purchase,2023-06-07,,American Express INC
424.27,[Category Missing],Best Buy.COM,Transaction 358 - Monthly subscription,2023-02-07,,Best Buy.COM
32.7,[Category Missing],AUTO PAY Netflix,Transaction 359 - Office supplies,2023-02-05,,AUTO PAY Netflix
375.09,[Category Missing],Whole Foods LLC,Transaction 360 - Client meeting,2023-11-27,,Whole Foods LLC
133.86,[Category Missing],Gas Company*STORE 001,Transaction 361 - Business expense,2023-02-11,,Gas Company*STORE 001
128.22,[Category Missing],Costco ONLINE,Transaction 362 - Business expense,2023-07-21,,Costco ONLINE
673.83,[Category Missing],Subway,Transaction 363 - Monthly subscription,2023-06-02,,Subway
0.0,[Category Missing],Gas Company,Transaction 364 - Equipment purchase,2023-04-28,,Gas Company
615.31,[Category Missing],SUBWAY,Transaction 365 - Business expense,2023-01-17,,SUBWAY
594.35,[Category Missing],SQ *Google,Transaction 366 - Equipment purchase,2023-02-04,,SQ *Google
740.8,[Category Missing],Dominos,Transaction 367 - Office supplies,2023-01-25,,Dominos
504.39,[Category Missing],SQ *Marriott,Transaction 368 - Equipment purchase,2023-01-29,,SQ *Marriott
772.77,[Category Missing],Enterprise Rent-A-Car #123456,Transaction 369 - Office supplies,,,Enterprise Rent-A-Car #123456
221.82,[Category Missing],AUTO PAY Dropbox,Transaction 370 - Business expense,2023-03-15,,AUTO PAY Dropbox
0.0,[Category Missing],Airbnb.COM,Transaction 371 - Equipment purchase,2023-03-31,,Airbnb.COM
696.61,[Category Missing],Safeway*STORE 001,Transaction 372 - Team lunch,2023-09-26,,Safeway*STORE 001
241.73,[Category Missing],gas company,Transaction 373 - Equipment purchase,2023-10-03,,gas company
562.82,[Category Missing],Target,Transaction 374 - Monthly subscription,2023-08-26,,Target
255.74,[Category Missing],hilton hotels,Transaction 375 - Business expense,2023-07-18,,hilton hotels
536.1,[Category Missing],Chase Bank,Transaction 376 - Business expense,2023-07-09,,Chase Bank
603.32,[Category Missing],Adobe*STORE 001,Transaction 377 - Office supplies,,,Adobe*STORE 001
217.8,[Category Missing],Subway.COM,Transaction 378 - Team lunch,2023-12-10,,Subway.COM
937.22,[Category Missing],AUTO PAY Dropbox,Transaction 379 - Business expense,2023-01-08,,AUTO PAY Dropbox
695.93,[Category Missing],Chipotle,Transaction 380 - Client meeting,2023-09-03,,Chipotle
381.28,[Category Missing],Google ONLINE,Transaction 381 - Team lunch,2023-06-14,,Google ONLINE
882.93,[Category Missing],PAYPAL *Dropbox,Transaction 382 - Equipment purchase,2023-07-04,,PAYPAL *Dropbox
371.33,[Category Missing],DeltaAirlines,Transaction 383 - Monthly subscription,2023-06-13,,DeltaAirlines
261.51,[Category Missing],Apple LLC,Transaction 384 - Monthly subscription,2023-03-16,,Apple LLC
197.0,[Category Missing],Papa John's*STORE 001,Transaction 385 - Monthly subscription,2023-01-06,,Papa John's*STORE 001
258.07,[Category Missing],TST* Google,Transaction 386 - Equipment purchase,2023-10-09,,TST* Google
169.07,[Category Missing],Whole Foods LLC,Transaction 387 - Office supplies,2023-09-09,,Whole Foods LLC
184.86,[Category Missing],Chevron LLC,Transaction 388 - Equipment purchase,2023-10-07,,Chevron LLC
945.24,[Category Missing],Netflix ONLINE,Transaction 389 - Business expense,2023-01-18,,Netflix ONLINE
0.0,[Category Missing],bank of america,Transaction 390 - Monthly subscription,2023-11-19,,bank of america
638.09,[Category Missing],American Express #123456,Transaction 391 - Client meeting,,,American Express #123456
532.68,[Category Missing],TST* Safeway,Transaction 392 - Business expense,2023-01-09,,TST* Safeway
977.5,[Category Missing],Hilton Hotels LLC,Transaction 393 - Equipment purchase,2023-05-21,,Hilton Hotels LLC
918.13,[Category Missing],Kroger*STORE 001,Transaction 394 - Office supplies,2023-04-02,,Kroger*STORE 001
815.4,[Category Missing],Home Depot.COM,Transaction 395 - Client meeting,2023-09-27,,Home Depot.COM
565.44,[Category Missing],Uber #123456,Transaction 396 - Office supplies,2023-07-27,,Uber #123456
94.41,[Category Missing],Dropbox INC,Transaction 397 - Monthly subscription,2023-02-11,,Dropbox INC
703.14,[Category Missing],Delta Airlines,Transaction 398 - Client meeting,2023-11-23,,Delta Airlines
977.35,[Category Missing],WholeFoods,Transaction 399 - Monthly subscription,,,WholeFoods
476.02,[Category Missing],SQ *Amazon,Transaction 400 - Equipment purchase,,,SQ *Amazon
658.45,[Category Missing],AUTO PAY Adobe,Transaction 401 - Team lunch,,,AUTO PAY Adobe
752.5,[Category Missing],SQ *McDonald's,Transaction 402 - Client meeting,2023-10-28,,SQ *McDonald's
241.23,[Category Missing],PAYPAL *Spotify,Transaction 403 - Client meeting,,,PAYPAL *Spotify
384.46,[Category Missing],AUTO PAY Kroger,Transaction 404 - Equipment purchase,2023-10-04,,AUTO PAY Kroger
54.64,[Category Missing],PAPA JOHN'S,Transaction 405 - Business expense,2023-09-14,,PAPA JOHN'S
397.31,[Category Missing],Verizon.COM,Transaction 406 - Business expense,,,Verizon.COM
228.91,[Category Missing],PAYPAL *Walgreens,Transaction 407 - Client meeting,2023-08-19,,PAYPAL *Walgreens
0.0,[Category Missing],wells fargo,Transaction 408 - Team lunch,,,wells fargo
268.7,[Category Missing],Google LLC,Transaction 409 - Equipment purchase,2023-02-07,,Google LLC
0.0,[Category Missing],Target LLC,Transaction 410 - Client meeting,2023-07-19,,Target LLC
0.0,[Category Missing],ElectricCompany,Transaction 411 - Monthly subscription,2023-05-19,,ElectricCompany
27.24,[Category Missing],Airbnb ONLINE,Transaction 412 - Business expense,2023-07-28,,Airbnb ONLINE
13.33,[Category Missing],Budget.COM,Transaction 413 - Business expense,2023-06-16,,Budget.COM
0.0,[Category Missing],AUTO PAY Papa John's,Transaction 414 - Office supplies,2023-10-14,,AUTO PAY Papa John's
0.0,[Category Missing],PAYPAL *Chevron,Transaction 415 - Team lunch,2023-06-04,,PAYPAL *Chevron
361.76,[Category Missing],PAYPAL *Bank of America,Transaction 416 - Equipment purchase,2023-09-05,,PAYPAL *Bank of America
0.0,[Category Missing],TST* Walgreens,Transaction 417 - Business expense,,,TST* Walgreens
804.27,[Category Missing],Water Company #123456,Transaction 418 - Team lunch,2023-11-14,,Water Company #123456
136.99,[Category Missing],Wells Fargo,Transaction 419 - Equipment purchase,,,Wells Fargo
964.61,[Category Missing],TST* Home Depot,Transaction 420 - Team lunch,2023-10-06,,TST* Home Depot
967.8,[Category Missing],Chipotle LLC,Transaction 421 - Team lunch,2023-11-21,,Chipotle LLC
114.77,[Category Missing],PAYPAL *Gas Company,Transaction 422 - Monthly subscription,2023-07-21,,PAYPAL *Gas Company
27.89,[Category Missing],marriott,Transaction 423 - Equipment purchase,2023-12-16,,marriott
819.15,[Category Missing],TST* Best Buy,Transaction 424 - Client meeting,2023-05-30,,TST* Best Buy
242.78,[Category Missing],TST* Kroger,Transaction 425 - Equipment purchase,2023-03-13,,TST* Kroger
449.62,[Category Missing],WellsFargo,Transaction 426 - Monthly subscription,2023-07-13,,WellsFargo
544.1,[Category Missing],Water Company ONLINE,Transaction 427 - Team lunch,2023-09-17,,Water Company ONLINE
638.54,[Category Missing],AUTO PAY Pizza Hut,Transaction 428 - Office supplies,,,AUTO PAY Pizza Hut
647.35,[Category Missing],Safeway INC,Transaction 429 - Equipment purchase,2023-01-07,,Safeway INC
0.0,[Category Missing],Whole Foods*STORE 001,Transaction 430 - Monthly subscription,2023-06-19,,Whole Foods*STORE 001
687.98,[Category Missing],Chipotle ONLINE,Transaction 431 - Team lunch,,,Chipotle ONLINE
690.75,[Category Missing],TST* Water Company,Transaction 432 - Client meeting,,,TST* Water Company
116.95,[Category Missing],PAYPAL *Lyft,Transaction 433 - Office supplies,2023-08-01,,PAYPAL *Lyft
784.49,[Category Missing],PAYPAL *Comcast,Transaction 434 - Team lunch,2023-06-25,,PAYPAL *Comcast
319.59,[Category Missing],DELTA AIRLINES,Transaction 435 - Equipment purchase,2023-08-13,,DELTA AIRLINES
677.46,[Category Missing],Shell,Transaction 436 - Office supplies,2023-06-25,,Shell
331.66,[Category Missing],hilton hotels,Transaction 437 - Client meeting,2023-10-10,,hilton hotels
187.2,[Category Missing],Apple,Transaction 438 - Client meeting,2023-07-27,,Apple
450.13,[Category Missing],McDonald's LLC,Transaction 439 - Business expense,2023-11-11,,McDonald's LLC
752.57,[Category Missing],SQ *Domino's,Transaction 440 - Business expense,2023-04-16,,SQ *Domino's
366.43,[Category Missing],ENTERPRISE RENT-A-CAR,Transaction 441 - Team lunch,2023-02-10,,ENTERPRISE RENT-A-CAR
965.95,[Category Missing],Safeway,Transaction 442 - Client meeting,2023-09-08,,Safeway
348.58,[Category Missing],CVS Pharmacy*STORE 001,Transaction 443 - Monthly subscription,2023-10-28,,CVS Pharmacy*STORE 001
918.76,[Category Missing],Costco,Transaction 444 - Equipment purchase,2023-12-11,,Costco
306.07,[Category Missing],Chevron #123456,Transaction 445 - Office supplies,2023-03-02,,Chevron #123456
138.73,[Category Missing],Southwest Airlines*STORE 001,Transaction 446 - Office supplies,,,Southwest Airlines*STORE 001
555.36,[Category Missing],United Airlines INC,Transaction 447 - Office supplies,2023-03-10,,United Airlines INC
54.56,[Category Missing],Costco #123456,Transaction 448 - Business expense,,,Costco #123456
963.87,[Category Missing],united airlines,Transaction 449 - Client meeting,2023-04-10,,united airlines
710.43,[Category Missing],Bank of America INC,Transaction 450 - Office supplies,2023-09-09,,Bank of America INC
292.8,[Category Missing],Uber.COM,Transaction 451 - Monthly subscription,2023-01-16,,Uber.COM
742.78,[Category Missing],salesforce,Transaction 452 - Monthly subscription,,,salesforce
268.62,[Category Missing],SOUTHWEST AIRLINES,Transaction 453 - Team lunch,2023-10-21,,SOUTHWEST AIRLINES
546.81,[Category Missing],Marriott,Transaction 454 - Business expense,2023-01-22,,Marriott
298.41,[Category Missing],Chipotle,Transaction 455 - Client meeting,2023-12-01,,Chipotle
865.43,[Category Missing],Microsoft #123456,Transaction 456 - Office supplies,2023-02-14,,Microsoft #123456
861.19,[Category Missing],BestBuy,Transaction 457 - Client meeting,2023-10-29,,BestBuy
813.72,[Category Missing],Walmart.COM,Transaction 458 - Monthly subscription,2023-03-13,,Walmart.COM
539.23,[Category Missing],Comcast ONLINE,Transaction 459 - Equipment purchase,,,Comcast ONLINE
952.44,[Category Missing],PAYPAL *Salesforce,Transaction 460 - Equipment purchase,2023-10-21,,PAYPAL *Salesforce
992.49,[Category Missing],lyft,Transaction 461 - Office supplies,2023-07-30,,lyft
147.1,[Category Missing],Pizza Hut,Transaction 462 - Office supplies,2023-03-09,,Pizza Hut
489.97,[Category Missing],Subway,Transaction 463 - Team lunch,2023-12-13,,Subway
76.44,[Category Missing],Walgreens*STORE 001,Transaction 464 - Business expense,2023-07-12,,Walgreens*STORE 001
455.24,[Category Missing],Water Company ONLINE,Transaction 465 - Monthly subscription,2023-05-23,,Water Company ONLINE
635.21,[Category Missing],Starbucks,Transaction 466 - Business expense,2023-02-17,,Starbucks
825.02,[Category Missing],Marriott*STORE 001,Transaction 467 - Team lunch,2023-04-22,,Marriott*STORE 001
131.46,[Category Missing],Salesforce #123456,Transaction 468 - Team lunch,,,Salesforce #123456
100.48,[Category Missing],Kroger,Transaction 469 - Client meeting,2023-01-25,,Kroger
457.06,[Category Missing],MCDONALD'S,Transaction 470 - Client meeting,2023-03-22,,MCDONALD'S
159.82,[Category Missing],Home Depot LLC,Transaction 471 - Team lunch,2023-03-09,,Home Depot LLC
83.34,[Category Missing],Uber INC,Transaction 472 - Equipment purchase,2023-07-04,,Uber INC
726.26,[Category Missing],Walmart,Transaction 473 - Client meeting,2023-07-22,,Walmart
2.09,[Category Missing],WHOLE FOODS,Transaction 474 - Office supplies,2023-12-27,,WHOLE FOODS
10.28,[Category Missing],SQ *Hertz,Transaction 475 - Business expense,2023-09-23,,SQ *Hertz
71.76,[Category Missing],Wells Fargo LLC,Transaction 476 - Equipment purchase,2023-03-09,,Wells Fargo LLC
881.11,[Category Missing],LYFT,Transaction 477 - Office supplies,2023-06-10,,LYFT
530.98,[Category Missing],Whole Foods INC,Transaction 478 - Office supplies,2023-03-15,,Whole Foods INC
919.97,[Category Missing],Chase Bank #123456,Transaction 479 - Client meeting,2023-04-20,,Chase Bank #123456
752.69,[Category Missing],BEST BUY,Transaction 480 - Client meeting,2023-02-21,,BEST BUY
248.54,[Category Missing],Comcast*STORE 001,Transaction 481 - Office supplies,2023-11-06,,Comcast*STORE 001
285.64,[Category Missing],Airbnb.COM,Transaction 482 - Business expense,,,Airbnb.COM
518.23,[Category Missing],AUTO PAY Safeway,Transaction 483 - Equipment purchase,2023-06-04,,AUTO PAY Safeway
784.02,[Category Missing],PAYPAL *Water Company,Transaction 484 - Office supplies,2023-11-27,,PAYPAL *Water Company
500.08,[Category Missing],United Airlines*STORE 001,Transaction 485 - Monthly subscription,2023-02-27,,United Airlines*STORE 001
387.45,[Category Missing],Starbucks #123456,Transaction 486 - Client meeting,2023-12-06,,Starbucks #123456
762.96,[Category Missing],Electric Company ONLINE,Transaction 487 - Business expense,2023-12-16,,Electric Company ONLINE
262.92,[Category Missing],McDonald's.COM,Transaction 488 - Client meeting,2023-02-04,,McDonald's.COM
767.34,[Category Missing],PAYPAL *Southwest Airlines,Transaction 489 - Client meeting,2023-11-18,,PAYPAL *Southwest Airlines
616.43,[Category Missing],Uber INC,Transaction 490 - Team lunch,2023-10-02,,Uber INC
536.85,[Category Missing],Uber ONLINE,Transaction 491 - Equipment purchase,2023-04-15,,Uber ONLINE
310.86,[Category Missing],Subway,Transaction 492 - Office supplies,2023-11-29,,Subway
116.87,[Category Missing],SQ *Netflix,Transaction 493 - Business expense,2023-02-14,,SQ *Netflix
120.32,[Category Missing],Dropbox INC,Transaction 494 - Equipment purchase,2023-03-12,,Dropbox INC
523.48,[Category Missing],starbucks,Transaction 495 - Equipment purchase,2023-09-12,,starbucks
750.03,[Category Missing],microsoft,Transaction 496 - Equipment purchase,2023-10-07,,microsoft
807.3,[Category Missing],Shell,Transaction 497 - Business expense,2023-01-16,,Shell
496.65,[Category Missing],Microsoft LLC,Transaction 498 - Business expense,2023-10-23,,Microsoft LLC
368.32,[Category Missing],United Airlines,Transaction 499 - Business expense,2023-10-18,,United Airlines
741.04,[Category Missing],Enterprise Rent-A-Car INC,Transaction 500 - Business expense,2023-03-01,,Enterprise Rent-A-Car INC
